geracao,melhor_medio,pior_medio,media_populacional
280,6096.0000,6094.4667,6095.9493
281,6096.0000,6094.5333,6095.9507
282,6096.0000,6094.2000,6095.9400
283,6096.0000,6094.4000,6095.9387
284,6096.0000,6094.4667,6095.9453
285,6096.0000,6094.5333,6095.9507
286,6096.0000,6094.6667,6095.9520
287,6096.0000,6094.5333,6095.9493
288,6096.0000,6094.2000,6095.9387
289,6096.0000,6094.2667,6095.9373
290,6096.0000,6094.8667,6095.9560
291,6096.0000,6094.6667,6095.9613
292,6096.0000,6094.6667,6095.9547
293,6096.0000,6094.8667,6095.9520
294,6096.0000,6094.4667,6095.9320
295,6096.0000,6094.3333,6095.9427
296,6096.0000,6094.5333,6095.9440
297,6096.0000,6094.4667,6095.9453
298,6096.0000,6094.8000,6095.9627
299,6096.0000,6094.2667,6095.9467
300,6096.0000,6094.6000,6095.9453
301,6096.0000,6094.5333,6095.9533
302,6096.0000,6094.5333,6095.9440
303,6096.0000,6094.4000,6095.9440
304,6096.0000,6094.6000,6095.9387
305,6096.0000,6094.4667,6095.9467
306,6096.0000,6094.6667,6095.9547
307,6096.0000,6094.6667,6095.9613
308,6096.0000,6094.6000,6095.9533
309,6096.0000,6094.4667,6095.9467
310,6096.0000,6094.3333,6095.9427
311,6096.0000,6094.8000,6095.9480
312,6096.0000,6094.4667,6095.9427
313,6096.0000,6094.4000,6095.9440
314,6096.0000,6094.8000,6095.9480
315,6096.0000,6094.4000,6095.9493
316,6096.0000,6094.2667,6095.9333
317,6096.0000,6094.4667,6095.9467
318,6096.0000,6094.5333,6095.9520
319,6096.0000,6094.3333,6095.9400
320,6096.0000,6094.2667,6095.9333
321,6096.0000,6094.4667,6095.9360
322,6096.0000,6094.8000,6095.9573
323,6096.0000,6094.2667,6095.9440
324,6096.0000,6094.3333,6095.9440
325,6096.0000,6094.4000,6095.9440
326,6096.0000,6094.6000,6095.9507
327,6096.0000,6094.6667,6095.9627
328,6096.0000,6094.4667,6095.9440
329,6096.0000,6094.6000,6095.9493
330,6096.0000,6094.5333,6095.9453
331,6096.0000,6094.4000,6095.9427
332,6096.0000,6094.6000,6095.9587
333,6096.0000,6094.5333,6095.9493
334,6096.0000,6094.3333,6095.9400
335,6096.0000,6094.2667,6095.9373
336,6096.0000,6094.6667,6095.9467
337,6096.0000,6094.6000,6095.9533
338,6096.0000,6094.6000,6095.9600
339,6096.0000,6094.5333,6095.9360
340,6096.0000,6094.6000,6095.9613
341,6096.0000,6094.3333,6095.9440
342,6096.0000,6094.9333,6095.9507
343,6096.0000,6094.4667,6095.9547
344,6096.0000,6094.5333,6095.9467
345,6096.0000,6094.7333,6095.9587
346,6096.0000,6094.4000,6095.9413
347,6096.0000,6094.5333,6095.9587
348,6096.0000,6094.6000,6095.9587
349,6096.0000,6094.6000,6095.9520
350,6096.0000,6094.3333,6095.9413
351,6096.0000,6094.2667,6095.9373
352,6096.0000,6094.3333,6095.9307
353,6096.0000,6094.2667,6095.9360
354,6096.0000,6094.4000,6095.9413
355,6096.0000,6094.4000,6095.9333
356,6096.0000,6094.2667,6095.9267
357,6096.0000,6094.4000,6095.9293
358,6096.0000,6094.6000,6095.9520
359,6096.0000,6094.2667,6095.9373
360,6096.0000,6094.3333,6095.9347
361,6096.0000,6094.3333,6095.9320
362,6096.0000,6094.4000,6095.9453
363,6096.0000,6094.4000,6095.9427
364,6096.0000,6094.5333,6095.9547
365,6096.0000,6094.6000,6095.9560
366,6096.0000,6094.3333,6095.9307
367,6096.0000,6094.4000,6095.9453
368,6096.0000,6094.5333,6095.9507
369,6096.0000,6094.4667,6095.9533
370,6096.0000,6094.5333,6095.9507
371,6096.0000,6094.4000,6095.9400
372,6096.0000,6094.6000,6095.9467
373,6096.0000,6094.6000,6095.9560
374,6096.0000,6094.5333,6095.9507
375,6096.0000,6094.6667,6095.9547
376,6096.0000,6094.4000,6095.9413
377,6096.0000,6094.7333,6095.9547
378,6096.0000,6094.3333,6095.9427
379,6096.0000,6094.4000,6095.9347
380,6096.0000,6094.3333,6095.9307
381,6096.0000,6094.5333,6095.9440
382,6096.0000,6094.3333,6095.9453
383,6096.0000,6094.6000,6095.9400
384,6096.0000,6094.5333,6095.9533
385,6096.0000,6094.6000,6095.9360
386,6096.0000,6094.6667,6095.9547
387,6096.0000,6094.8667,6095.9613
388,6096.0000,6094.6667,6095.9560
389,6096.0000,6094.4667,6095.9467
390,6096.0000,6094.2667,6095.9387
391,6096.0000,6094.4667,6095.9453
392,6096.0000,6094.7333,6095.9533
393,6096.0000,6094.8000,6095.9560
394,6096.0000,6094.3333,6095.9453
395,6096.0000,6094.5333,6095.9467
396,6096.0000,6094.6000,6095.9493
397,6096.0000,6094.6000,6095.9533
398,6096.0000,6094.8667,6095.9493
399,6096.0000,6094.7333,6095.9467
400,6096.0000,6094.4667,6095.9467
401,6096.0000,6094.7333,6095.9533
402,6096.0000,6094.4667,6095.9387
403,6096.0000,6094.6667,6095.9373
404,6096.0000,6094.5333,6095.9453
405,6096.0000,6094.4667,6095.9307
406,6096.0000,6094.6000,6095.9600
407,6096.0000,6094.6000,6095.9533
408,6096.0000,6094.5333,6095.9427
409,6096.0000,6094.6667,6095.9507
410,6096.0000,6094.4667,6095.9453
