geracao,melhor,pior,media
437,7087.0000,6080.0000,7066.7000
438,7087.0000,-997.0000,6925.0400
439,7087.0000,-997.0000,6601.8800
440,7087.0000,-997.0000,6601.5600
441,7087.0000,-997.0000,6743.4200
442,7087.0000,6070.0000,7066.5800
443,7087.0000,-997.0000,6884.8000
444,7087.0000,6080.0000,7066.6200
445,7087.0000,6080.0000,7046.4400
446,7087.0000,6080.0000,7066.6200
447,7087.0000,-997.0000,6905.1000
448,7087.0000,-997.0000,6925.0800
449,7087.0000,-997.0000,6743.1800
450,7087.0000,-997.0000,6722.7600
451,7087.0000,-997.0000,6884.7600
452,7087.0000,-997.0000,6763.4000
453,7087.0000,-997.0000,6905.0600
454,7087.0000,-997.0000,6743.3400
455,7087.0000,-997.0000,6904.8200
456,7087.0000,6080.0000,7006.2000
457,7087.0000,6080.0000,7046.5600
458,7087.0000,-997.0000,6904.9400
459,7087.0000,6080.0000,7066.6200
460,7087.0000,7081.0000,7086.8400
461,7087.0000,-997.0000,6905.1800
462,7087.0000,-997.0000,6723.1600
463,7087.0000,-997.0000,6763.2800
464,7087.0000,7081.0000,7086.8400
465,7087.0000,-997.0000,6864.9000
466,7087.0000,-997.0000,6763.5200
467,7087.0000,7085.0000,7086.8000
468,7087.0000,-997.0000,6743.4600
469,7087.0000,-997.0000,6884.7200
470,7087.0000,-997.0000,6439.8400
471,7087.0000,-997.0000,6924.9600
472,7087.0000,-997.0000,6905.0600
473,7087.0000,-997.0000,6743.4200
474,7087.0000,-997.0000,6925.1200
475,7087.0000,-997.0000,6581.4600
476,7087.0000,-997.0000,6904.6600
477,7087.0000,6080.0000,7066.7000
478,7087.0000,7079.0000,7086.8000
479,7087.0000,-997.0000,6925.2400
480,7087.0000,6080.0000,7066.8600
481,7087.0000,-997.0000,6884.8000
482,7087.0000,-997.0000,6379.4600
483,7087.0000,7079.0000,7086.4400
484,7087.0000,-997.0000,6743.0600
485,7087.0000,-997.0000,6925.2000
486,7087.0000,-997.0000,6885.0000
487,7087.0000,-997.0000,6723.2800
488,7087.0000,6080.0000,7066.6200
489,7087.0000,-997.0000,6601.6400
490,7087.0000,-997.0000,6763.5200
491,7087.0000,-997.0000,6763.4000
492,7087.0000,-997.0000,6904.8600
493,7087.0000,-997.0000,6763.4400
494,7087.0000,-997.0000,6763.4400
495,7087.0000,-997.0000,6824.3800
496,7087.0000,-997.0000,6561.7000
497,7087.0000,-997.0000,6904.8600
498,7087.0000,7085.0000,7086.9200
499,7087.0000,7087.0000,7087.0000
500,7087.0000,-997.0000,6904.8600
501,7087.0000,6080.0000,7006.3200
502,7087.0000,6080.0000,7066.7400
503,7087.0000,6080.0000,7066.5400
504,7087.0000,-997.0000,6723.0800
505,7087.0000,-997.0000,6904.9400
506,7087.0000,-997.0000,6581.5800
507,7087.0000,-997.0000,6763.5600
508,7087.0000,-997.0000,6864.7800
509,7087.0000,-997.0000,6925.2400
510,7087.0000,-997.0000,6904.9000
511,7087.0000,-997.0000,6743.3800
512,7087.0000,-997.0000,6561.6200
513,7087.0000,-997.0000,6885.0000
514,7087.0000,-997.0000,6763.4800
515,7087.0000,-997.0000,6763.4000
516,7087.0000,-997.0000,6884.9200
517,7087.0000,-997.0000,6763.4800
518,7087.0000,-997.0000,6905.1800
519,7087.0000,6080.0000,7026.5000
520,7087.0000,-997.0000,6763.6000
521,7087.0000,6070.0000,7066.4600
522,7087.0000,-997.0000,6581.7600
523,7087.0000,-994.0000,6884.9400
524,7087.0000,6070.0000,7046.0000
525,7087.0000,-997.0000,6702.6800
526,7087.0000,6070.0000,7046.2800
527,7087.0000,6080.0000,7066.4200
528,7087.0000,-997.0000,6743.2200
529,7087.0000,-997.0000,6905.1400
530,7087.0000,-997.0000,6864.6200
531,7087.0000,6080.0000,7026.3400
532,7087.0000,6082.0000,7066.7000
533,7087.0000,-997.0000,6884.5200
534,7087.0000,6070.0000,7025.9400
535,7087.0000,-997.0000,6763.4000
536,7087.0000,-997.0000,6925.2800
537,7087.0000,-997.0000,6904.9400
538,7087.0000,6070.0000,7026.1400
539,7087.0000,6070.0000,7025.8600
540,7087.0000,6070.0000,7066.5400
541,7087.0000,6080.0000,7066.7400
542,7087.0000,6070.0000,7046.0800
543,7087.0000,-997.0000,6864.1400
544,7087.0000,6080.0000,7066.6600
545,7087.0000,-997.0000,6743.2200
546,7087.0000,-997.0000,6925.0400
547,7087.0000,6080.0000,7046.3600
548,7087.0000,6080.0000,7026.5800
549,7087.0000,6080.0000,7066.7800
550,7087.0000,7081.0000,7086.6400
551,7087.0000,6080.0000,7066.6200
552,7087.0000,6070.0000,7066.3800
553,7087.0000,-997.0000,6905.0200
554,7087.0000,-997.0000,6925.0800
555,7087.0000,6080.0000,7066.8200
556,7087.0000,-997.0000,6743.1000
557,7087.0000,7085.0000,7086.9600
558,7087.0000,6080.0000,7026.5800
559,7087.0000,-997.0000,6905.0600
560,7087.0000,-997.0000,6904.9800
561,7087.0000,-997.0000,6864.7800
562,7087.0000,6070.0000,7066.3800
563,7087.0000,6070.0000,7026.0200
564,7087.0000,7079.0000,7086.6000
565,7087.0000,-997.0000,6904.7000
566,7087.0000,-997.0000,6904.7000
567,7087.0000,7081.0000,7086.7600
568,7087.0000,-997.0000,6885.0400
569,7087.0000,6070.0000,7046.3600
570,7087.0000,-997.0000,6905.0200
571,7087.0000,6080.0000,7026.3000
572,7087.0000,-997.0000,6884.8000
573,7087.0000,7081.0000,7086.8800
574,7087.0000,7081.0000,7086.8000
575,7087.0000,6070.0000,7006.0800
576,7087.0000,-997.0000,6904.9800
577,7087.0000,7087.0000,7087.0000
578,7087.0000,6080.0000,7066.7400
579,7087.0000,6080.0000,7046.2000
580,7087.0000,-997.0000,6924.8800
581,7087.0000,6080.0000,7066.7000
582,7087.0000,-997.0000,6743.3800
583,7087.0000,-997.0000,6904.9000
584,7087.0000,-997.0000,6884.9600
585,7087.0000,-997.0000,6904.8600
586,7087.0000,7079.0000,7086.5600
587,7087.0000,6070.0000,7066.3000
588,7087.0000,-997.0000,6925.1600
589,7087.0000,7087.0000,7087.0000
590,7087.0000,-997.0000,6884.9600
591,7087.0000,-997.0000,6905.1400
592,7087.0000,-997.0000,6723.2400
593,7087.0000,-997.0000,6601.6800
594,7087.0000,-997.0000,6925.2800
595,7087.0000,6080.0000,7066.7400
596,7087.0000,-997.0000,6581.5400
597,7087.0000,-997.0000,6884.5600
598,7087.0000,-997.0000,6884.9600
599,7087.0000,6070.0000,7066.6200
600,7087.0000,7085.0000,7086.8800
601,7087.0000,-997.0000,6601.6000
602,7087.0000,-997.0000,6723.1200
603,7087.0000,-997.0000,6743.4200
604,7087.0000,-997.0000,6763.6400
605,7087.0000,6080.0000,7066.7400
606,7087.0000,-997.0000,6601.8400
607,7087.0000,-997.0000,6116.7200
608,7087.0000,-997.0000,6904.7400
609,7087.0000,-997.0000,6440.2400
610,7087.0000,-997.0000,6581.7800
611,7087.0000,-997.0000,6723.1200
612,7087.0000,-997.0000,6258.2600
613,7087.0000,-997.0000,6601.6000
