geracao,melhor_medio,pior_medio,media_populacional
91,7023.4000,1109.1000,6721.9533
92,7023.4000,876.9667,6641.2840
93,7023.4000,874.3000,6701.8680
94,7023.4000,2045.2333,6752.5087
95,7023.4000,408.3000,6660.1587
96,7023.4000,643.5667,6697.1013
97,7023.4000,1110.6667,6690.6787
98,7023.4000,-529.4000,6577.9107
99,7023.4000,173.5333,6636.4993
100,7023.4000,178.5333,6669.8347
101,7023.4000,874.9333,6645.8167
102,7023.4000,908.8333,6687.4287
103,7023.4000,873.6333,6670.0940
104,7023.4000,876.9333,6688.4553
105,7023.4000,876.2667,6697.9040
106,7023.4000,-60.7000,6690.5560
107,7023.4000,409.3333,6718.2667
108,7023.4000,175.1333,6628.4947
109,7023.4000,409.7000,6674.3853
110,7023.4000,874.1000,6623.4040
111,7023.4667,875.4667,6700.6047
112,7023.4667,880.1000,6700.9367
113,7023.4667,641.1667,6711.0253
114,7023.4667,642.2667,6720.4133
115,7023.4667,173.6000,6612.5807
116,7023.4667,1613.0000,6719.5927
117,7023.4667,408.0333,6627.2187
118,7023.4667,407.4000,6650.2520
119,7023.4667,-60.0000,6625.7100
120,7023.4667,1578.9000,6758.6860
121,7023.4667,409.9333,6689.8060
122,7023.4667,172.0333,6685.7100
123,7023.4667,1578.0667,6744.9273
124,7023.4667,1348.1333,6701.7127
125,7023.4667,-58.6000,6637.6393
126,7023.4667,643.9667,6675.9647
127,7023.4667,641.0000,6675.1907
128,7023.4667,173.2333,6661.9707
129,7023.4667,408.0333,6628.2340
130,7023.4667,874.1333,6684.2367
131,7023.4667,-58.1000,6598.9967
132,7023.4667,1344.5000,6706.9700
133,7023.4667,640.8667,6682.2367
134,7023.4667,440.1333,6672.9207
135,7023.4667,644.7333,6595.8887
136,7023.4667,1579.4667,6691.9473
137,7023.4667,645.6667,6702.6920
138,7023.4667,1576.6667,6742.0340
139,7023.4667,876.8000,6662.2447
140,7023.4667,642.9000,6705.9580
141,7023.4667,640.2000,6638.1713
142,7023.4667,407.8333,6659.8780
143,7023.4667,1110.2667,6734.4613
144,7023.4667,879.8667,6654.5947
145,7023.4667,640.7667,6634.2107
146,7023.4667,1343.2667,6703.8233
147,7023.4667,876.3667,6713.3547
148,7023.4667,1107.2000,6684.1780
149,7023.4667,672.4667,6702.3007
150,7023.4667,407.5333,6668.0187
151,7023.4667,174.8333,6685.0147
152,7023.4667,1109.2667,6715.9773
153,7023.4667,644.7667,6657.2453
154,7023.4667,1110.1000,6686.1920
155,7023.4667,179.4000,6684.3640
156,7023.4667,-761.7000,6651.5393
157,7023.4667,1344.9667,6647.8280
158,7023.4667,876.3667,6673.1000
159,7023.4667,1114.5667,6714.0707
160,7023.4667,408.9333,6699.0447
161,7023.4667,408.4667,6683.7240
162,7023.4667,-292.2667,6636.9887
163,7023.4667,640.8000,6667.7333
164,7023.4667,-61.0667,6683.4687
165,7023.4667,1141.8333,6699.7780
166,7023.4667,1383.6333,6705.9520
167,7023.4667,174.1667,6678.9553
168,7023.4667,878.1667,6699.8367
169,7023.4667,1581.2333,6746.5527
170,7023.4667,2278.9333,6746.7153
171,7023.4667,641.8667,6656.6700
172,7023.4667,1575.7667,6729.6753
173,7023.4667,1574.4333,6714.3840
174,7023.4667,-60.0667,6636.2067
175,7023.4667,174.1000,6677.7773
176,7023.4667,177.7333,6681.3400
177,7023.4667,175.4333,6649.8380
178,7023.4667,876.3000,6638.6300
179,7023.4667,-60.9000,6762.4473
180,7023.4667,1343.9000,6641.9067
181,7023.4667,643.1333,6696.1387
182,7023.4667,1113.6667,6699.7107
183,7023.6000,1342.8000,6690.6193
184,7023.6000,407.2333,6640.1507
185,7023.6000,-762.5667,6551.2927
186,7023.6000,411.8667,6632.0400
187,7023.6000,876.2000,6721.3453
188,7023.6000,1110.3667,6683.7987
189,7023.6000,642.7000,6697.9587
190,7023.6000,1579.2333,6672.8613
191,7023.6000,879.5667,6660.8353
192,7023.6000,1577.9000,6736.0067
193,7023.6000,1613.2333,6671.2360
194,7023.6000,209.5000,6663.4287
195,7023.6000,1141.9667,6694.4347
196,7023.6000,411.0000,6650.3887
197,7023.6000,1811.1000,6734.9460
198,7023.6000,177.2000,6678.3193
199,7023.6000,641.4333,6658.9300
200,7023.6000,408.8667,6704.0100
201,7023.6000,1144.2667,6711.0393
202,7023.6000,1344.2333,6759.9333
203,7023.6000,1345.0333,6672.5173
204,7023.6000,642.5000,6649.3787
205,7023.6000,-292.5000,6623.9393
206,7024.0667,-60.9333,6649.1067
207,7024.0667,646.0000,6685.4293
208,7024.0667,642.4667,6658.2413
209,7024.0667,1343.5000,6696.5267
210,7024.0667,-61.1667,6663.9287
211,7024.0667,641.6000,6731.9453
212,7024.0667,409.5000,6623.2467
